depth,min,max,median,wmean
101.75,24402.9,24825,24629.8,24629.2
102,24405.2,24827.7,24632.8,24632.1
102.25,24409.1,24830.7,24635.8,24635
102.5,24412.9,24832.8,24638.4,24637.6
102.75,24417.2,24835.6,24641.5,24640.4
103,24418.2,24838.3,24644.5,24643.2
103.25,24422.4,24841.5,24647.4,24646.1
103.5,24424.3,24844.8,24650.9,24649.1
103.75,24427.7,24847.7,24653.8,24651.9
104,24430.5,24851,24656.4,24654.7
104.25,24432.1,24852.2,24659.2,24657.5
104.5,24434.1,24854.9,24662.4,24660.4
104.75,24436.4,24857.5,24665.3,24663.2
105,24437.4,24860.1,24668,24665.9
105.25,24440.2,24863,24670.5,24668.8
105.5,24443.6,24866.4,24673.6,24671.6
105.75,24446.3,24870.8,24676.4,24674.3
106,24449.6,24874.6,24679.3,24677.3
106.25,24452.8,24876.6,24682,24680
106.5,24455.1,24877.9,24684.9,24683
106.75,24458.6,24879.8,24687.8,24685.8
107,24461.3,24882,24690.4,24688.6
107.25,24464,24884.3,24693.4,24691.4
107.5,24467.5,24886.6,24696.2,24694.1
107.75,24469.9,24889.8,24699,24696.8
108,24474,24893.5,24701.6,24699.5
108.25,24476.8,24896.9,24704.1,24702.2
108.5,24479.1,24899.5,24706.2,24704.7
108.75,24482.5,24902.4,24708.9,24707.3
109,24484.4,24906.1,24711.6,24710
109.25,24486.6,24909.1,24714,24712.4
109.5,24488.1,24910.9,24716.7,24715.1
109.75,24489.7,24913.3,24719.1,24717.7
110,24493.5,24916,24721.8,24720.3
110.25,24496,24918.2,24724.1,24722.8
110.5,24498.7,24920.8,24726.5,24725.3
110.75,24500.3,24924.4,24729.1,24727.8
111,24502.5,24927.1,24731.8,24730.4
111.25,24505.5,24929.3,24734.2,24732.9
111.5,24507.4,24932.3,24736.6,24735.4
111.75,24510.2,24934.2,24739,24737.9
112,24513,24936.6,24741.4,24740.4
