depth,min,max,median,wmean
56.25,307,453,380.9,382
56.5,307,453.1,381,382.1
56.75,307.1,453.2,381.1,382.2
57,307.2,453.3,381.2,382.4
57.25,307.4,453.6,381.4,382.5
57.5,307.5,453.8,381.5,382.6
57.75,307.6,453.9,381.6,382.7
58,307.7,454,381.8,382.8
58.25,307.7,454.2,381.9,383
58.5,307.8,454.3,382,383.1
58.75,307.9,454.6,382.1,383.2
59,308.2,454.5,382.2,383.3
59.25,308.3,454.6,382.4,383.5
59.5,308.7,454.7,382.5,383.6
59.75,308.7,454.8,382.6,383.7
60,308.8,454.9,382.8,383.8
60.25,308.8,455,382.9,384
60.5,308.9,455.1,383,384.1
60.75,309.1,455.3,383.1,384.2
61,309.3,455.3,383.2,384.3
61.25,309.4,455.6,383.4,384.5
61.5,309.4,455.8,383.5,384.6
61.75,309.5,455.9,383.6,384.8
62,309.5,456.1,383.7,384.9
62.25,309.6,456.3,383.9,385
62.5,309.6,456.3,384,385.1
62.75,309.6,456.7,384.1,385.3
63,309.8,456.8,384.2,385.4
63.25,309.9,456.8,384.4,385.6
63.5,310.2,457,384.6,385.7
63.75,310.4,457,384.7,385.8
64,310.5,457.1,384.8,385.9
64.25,310.5,457.3,384.9,386
64.5,310.8,457.3,385,386.2
64.75,310.7,457.5,385.1,386.3
65,310.9,457.5,385.2,386.4
65.25,311.1,457.7,385.4,386.6
65.5,311.2,457.8,385.5,386.7
65.75,311.4,457.9,385.6,386.8
66,311.5,458.1,385.7,387
66.25,311.5,458.4,385.8,387.1
66.5,311.7,458.6,386,387.2
66.75,311.8,458.6,386.1,387.3
67,312,458.8,386.2,387.4
