lake,SampleID,TopDepth,BotDepth,Type,Material,Measurement,MeasurementError,Age,AgeError,CalibratedAge,CalAgeStD,CalAgeLCI,CalAgeUCI,LabID,Conf,Used
MA15,MA15_sh_15_16,3.5,4,Pb210,bulk sediment,2.401957423,0.179181707,NA,NA,38.23329123,7.357900829,23.8118056,52.65477685,Flett-77266,,Used
MA15,MA15_sh_17_18,4,4.5,Pb210,bulk sediment,2.928007247,0.228272904,NA,NA,51.20762306,9.18439851,33.20620198,69.20904414,Flett-77267,,Used
MA15,MA15_sh_19_20,4.5,5,Pb210,bulk sediment,1.763570703,0.165779362,NA,NA,98.214475,26.85337685,45.58185637,150.8470936,Flett-77268,,Unused
MA15,MA15_sh_21_24,5,6,Pb210,bulk sediment,1.20952476,0.145106807,NA,NA,NA,NA,NA,NA,Flett-77269,,Unused
MA15,MA15_sh_25_28,9,10,Pb210,bulk sediment,2.065860715,0.193358631,NA,NA,NA,NA,NA,NA,Flett-77273,,Unused
MA15,MA15_sh_29_32,14,15,Pb210,bulk sediment,1.182718621,0.158239013,NA,NA,NA,NA,NA,NA,Flett-77278,,Unused
MA15,MA15_sh_33_36,5,6,Ra226,bulk sediment,0.971081329,0.033714805,NA,NA,NA,NA,NA,NA,Flett-77269,,Unused
MA15,MA15_sh_37_40,14,15,Ra226,bulk sediment,1.529848257,0.04115155,NA,NA,NA,NA,NA,NA,Flett-77278,,Unused
NW15,NW15_sh_101_102,25.5,26.5,C14,bulk sediment,0.727549999,0.003037649,2555,35,2705,,2507,2747,CAMS-176228,40,Unused
NW15,NW15_1A_35_36,46.5,47.25,C14,bulk sediment,0.567863185,0.016455333,4550,240,5192,,4571,5759,CAMS-176229,,Unused
NW15,NW15_1A_140_144,72.75,74.25,C14,concentrated charcoal,0.857149558,0.003125263,1240,30,1195,,1079,1263,CAMS-176230,,Used
NW15,NW15_sh_1_2,0,0.5,Pb210,bulk sediment,14.95823587,0.866839213,NA,NA,-65,1.204876347,-62.63844236,-67.36155764,Flett-77219,,Used
NW15,NW15_sh_5_6,1,1.5,Pb210,bulk sediment,15.94829882,0.760675035,NA,NA,-61.77383626,1.264203229,-59.29599794,-64.25167459,Flett-77221,,Used
NW15,NW15_sh_9_10,2,2.5,Pb210,bulk sediment,14.03532418,0.752766938,NA,NA,-57.96198955,1.347285038,-55.32131088,-60.60266823,Flett-77223,,Used
NW15,NW15_sh_15_16,3.5,4,Pb210,bulk sediment,12.48008288,0.67481514,NA,NA,-52.28747677,1.496733018,-49.35388006,-55.22107349,Flett-77226,,Used
NW15,NW15_sh_25_28,6,7,Pb210,bulk sediment,9.271036646,0.559362293,NA,NA,-42.05179502,1.855854574,-38.41432006,-45.68926999,Flett-77230,,Used
NW15,NW15_sh_41_44,10,11,Pb210,bulk sediment,8.017249382,0.42847746,NA,NA,-21.23575112,2.584663038,-16.16981157,-26.30169068,Flett-77234,,Used
NW15,NW15_sh_57_60,14,15,Pb210,bulk sediment,6.681269417,0.420499992,NA,NA,19.08909349,6.894601125,32.60251169,5.575675284,Flett-77238,,Used
NW15,NW15_sh_77_80,19,20,Pb210,bulk sediment,4.561136029,0.217096129,NA,NA,167.5093455,4.563894414,176.4545786,158.5641125,Flett-78515,,Unused
